"Plot Title: QANASIASSAT_UTC_2021"
"#","Date Time, GMT-02:00","Temp, °C (LGR S/N: 20362477, SEN S/N: 20362477)","Event, units (LGR S/N: 20362477, SEN S/N: 20362477, LBL: rain)"
3406,11/25/2021 02.20.55 AM,,1096.00
3407,11/25/2021 02.24.03 AM,,1097.00
3408,11/25/2021 02.24.43 AM,,1098.00
3409,11/25/2021 02.28.30 AM,,1099.00
3410,11/25/2021 02.29.25 AM,,1100.00
3411,11/25/2021 02.33.51 AM,,1101.00
3412,11/25/2021 02.34.50 AM,,1102.00
3413,11/25/2021 02.39.18 AM,,1103.00
3414,11/25/2021 02.40.20 AM,,1104.00
3415,11/25/2021 02.45.12 AM,,1105.00
3416,11/25/2021 02.46.13 AM,,1106.00
3417,11/25/2021 02.50.33 AM,,1107.00
3418,11/25/2021 02.51.27 AM,,1108.00
3419,11/25/2021 02.55.17 AM,,1109.00
3420,11/25/2021 02.56.08 AM,,1110.00
3421,11/25/2021 02.59.53 AM,,1111.00
3422,11/25/2021 03.00.00 AM,0.453,
3423,11/25/2021 03.00.43 AM,,1112.00
3424,11/25/2021 03.04.15 AM,,1113.00
3425,11/25/2021 03.05.06 AM,,1114.00
3426,11/25/2021 03.09.19 AM,,1115.00
3427,11/25/2021 03.10.13 AM,,1116.00
3428,11/25/2021 03.14.37 AM,,1117.00
3429,11/25/2021 03.15.36 AM,,1118.00
3430,11/25/2021 03.20.44 AM,,1119.00
3431,11/25/2021 03.21.52 AM,,1120.00
3432,11/25/2021 03.26.58 AM,,1121.00
3433,11/25/2021 03.27.58 AM,,1122.00
3434,11/25/2021 03.32.47 AM,,1123.00
3435,11/25/2021 03.33.58 AM,,1124.00
3436,11/25/2021 03.41.00 AM,,1125.00
3437,11/25/2021 03.41.01 AM,,1126.00
3438,11/25/2021 03.46.58 AM,,1127.00
3439,11/25/2021 03.46.59 AM,,1128.00
3440,11/25/2021 03.52.34 AM,,1129.00
3441,11/25/2021 03.55.06 AM,,1130.00
3442,11/25/2021 03.56.58 AM,,1131.00
3443,11/25/2021 03.59.33 AM,,1132.00
3444,11/25/2021 04.00.00 AM,0.784,
3445,11/25/2021 04.01.30 AM,,1133.00
3446,11/25/2021 04.03.57 AM,,1134.00
3447,11/25/2021 04.05.47 AM,,1135.00
3448,11/25/2021 04.08.03 AM,,1136.00
3449,11/25/2021 04.09.45 AM,,1137.00
3450,11/25/2021 04.12.01 AM,,1138.00
3451,11/25/2021 04.13.42 AM,,1139.00
3452,11/25/2021 04.15.53 AM,,1140.00
3453,11/25/2021 04.17.45 AM,,1141.00
3454,11/25/2021 04.20.12 AM,,1142.00
3455,11/25/2021 04.22.06 AM,,1143.00
3456,11/25/2021 04.24.50 AM,,1144.00
3457,11/25/2021 04.26.58 AM,,1145.00
3458,11/25/2021 04.29.50 AM,,1146.00
3459,11/25/2021 04.32.13 AM,,1147.00
3460,11/25/2021 04.35.12 AM,,1148.00
3461,11/25/2021 04.37.33 AM,,1149.00
3462,11/25/2021 04.40.25 AM,,1150.00
3463,11/25/2021 04.42.46 AM,,1151.00
3464,11/25/2021 04.45.45 AM,,1152.00
3465,11/25/2021 04.48.27 AM,,1153.00
3466,11/25/2021 04.51.39 AM,,1154.00
3467,11/25/2021 04.54.38 AM,,1155.00
3468,11/25/2021 04.58.00 AM,,1156.00
3469,11/25/2021 05.00.00 AM,0.674,
3470,11/25/2021 05.00.51 AM,,1157.00
3471,11/25/2021 05.04.27 AM,,1158.00
3472,11/25/2021 05.07.40 AM,,1159.00
3473,11/25/2021 05.11.43 AM,,1160.00
3474,11/25/2021 05.14.57 AM,,1161.00
3475,11/25/2021 05.18.20 AM,,1162.00
3476,11/25/2021 05.21.37 AM,,1163.00
3477,11/25/2021 05.25.19 AM,,1164.00
3478,11/25/2021 05.28.35 AM,,1165.00
3479,11/25/2021 05.32.23 AM,,1166.00
3480,11/25/2021 05.35.48 AM,,1167.00
3481,11/25/2021 05.39.16 AM,,1168.00
3482,11/25/2021 05.42.05 AM,,1169.00
3483,11/25/2021 05.45.09 AM,,1170.00
3484,11/25/2021 05.48.09 AM,,1171.00
3485,11/25/2021 05.51.27 AM,,1172.00
3486,11/25/2021 05.54.42 AM,,1173.00
3487,11/25/2021 05.58.19 AM,,1174.00
3488,11/25/2021 06.00.00 AM,0.563,
3489,11/25/2021 06.01.57 AM,,1175.00
3490,11/25/2021 06.06.05 AM,,1176.00
3491,11/25/2021 06.09.50 AM,,1177.00
3492,11/25/2021 06.13.46 AM,,1178.00
3493,11/25/2021 06.17.12 AM,,1179.00
3494,11/25/2021 06.21.28 AM,,1180.00
3495,11/25/2021 06.25.20 AM,,1181.00
3496,11/25/2021 06.29.38 AM,,1182.00
3497,11/25/2021 06.34.08 AM,,1183.00
3498,11/25/2021 06.38.22 AM,,1184.00
3499,11/25/2021 06.42.17 AM,,1185.00
3500,11/25/2021 06.46.44 AM,,1186.00
3501,11/25/2021 06.50.38 AM,,1187.00
3502,11/25/2021 06.55.11 AM,,1188.00
3503,11/25/2021 07.00.00 AM,0.453,
3504,11/25/2021 07.00.04 AM,,1189.00
3505,11/25/2021 07.05.34 AM,,1190.00
3506,11/25/2021 07.10.35 AM,,1191.00
3507,11/25/2021 07.15.28 AM,,1192.00
3508,11/25/2021 07.20.27 AM,,1193.00
3509,11/25/2021 07.25.44 AM,,1194.00
3510,11/25/2021 07.31.27 AM,,1195.00
3511,11/25/2021 07.37.59 AM,,1196.00
3512,11/25/2021 07.43.58 AM,,1197.00
3513,11/25/2021 07.49.46 AM,,1198.00
3514,11/25/2021 07.55.17 AM,,1199.00
3515,11/25/2021 08.00.00 AM,0.453,
3516,11/25/2021 08.00.48 AM,,1200.00
3517,11/25/2021 08.07.18 AM,,1201.00
3518,11/25/2021 08.15.10 AM,,1202.00
3519,11/25/2021 08.22.31 AM,,1203.00
3520,11/25/2021 08.29.52 AM,,1204.00
3521,11/25/2021 08.36.21 AM,,1205.00
3522,11/25/2021 08.42.26 AM,,1206.00
3523,11/25/2021 08.48.29 AM,,1207.00
3524,11/25/2021 08.54.47 AM,,1208.00
3525,11/25/2021 09.00.00 AM,0.563,
3526,11/25/2021 09.01.20 AM,,1209.00
3527,11/25/2021 09.08.40 AM,,1210.00
3528,11/25/2021 09.17.28 AM,,1211.00
3529,11/25/2021 09.28.38 AM,,1212.00
3530,11/25/2021 09.40.21 AM,,1213.00
3531,11/25/2021 09.53.59 AM,,1214.00
3532,11/25/2021 10.00.00 AM,0.563,
3533,11/25/2021 10.04.41 AM,,1215.00
3534,11/25/2021 10.16.32 AM,,1216.00
3535,11/25/2021 10.26.00 AM,,1217.00
3536,11/25/2021 10.36.32 AM,,1218.00
3537,11/25/2021 10.47.11 AM,,1219.00
3538,11/25/2021 10.55.53 AM,,1220.00
3539,11/25/2021 11.00.00 AM,0.893,
3540,11/25/2021 11.05.47 AM,,1221.00
3541,11/25/2021 11.19.10 AM,,1222.00
3542,11/25/2021 11.30.16 AM,,1223.00
3543,11/25/2021 11.40.46 AM,,1224.00
3544,11/25/2021 11.52.09 AM,,1225.00
3545,11/25/2021 12.00.00 PM,1.003,
3546,11/25/2021 12.05.12 PM,,1226.00
3547,11/25/2021 12.16.49 PM,,1227.00
3548,11/25/2021 12.28.36 PM,,1228.00
3549,11/25/2021 12.37.26 PM,,1229.00
3550,11/25/2021 12.46.32 PM,,1230.00
3551,11/25/2021 12.56.07 PM,,1231.00
3552,11/25/2021 01.00.00 PM,0.784,
3553,11/25/2021 01.06.48 PM,,1232.00
3554,11/25/2021 01.14.09 PM,,1233.00
3555,11/25/2021 01.21.47 PM,,1234.00
3556,11/25/2021 01.31.00 PM,,1235.00
3557,11/25/2021 01.40.49 PM,,1236.00
3558,11/25/2021 01.48.55 PM,,1237.00
3559,11/25/2021 01.57.36 PM,,1238.00
3560,11/25/2021 02.00.00 PM,1.003,
3561,11/25/2021 02.03.59 PM,,1239.00
3562,11/25/2021 02.10.32 PM,,1240.00
3563,11/25/2021 02.18.25 PM,,1241.00
3564,11/25/2021 02.26.04 PM,,1242.00
3565,11/25/2021 02.33.45 PM,,1243.00
3566,11/25/2021 02.41.32 PM,,1244.00
3567,11/25/2021 02.48.04 PM,,1245.00
3568,11/25/2021 02.54.20 PM,,1246.00
3569,11/25/2021 03.00.00 PM,0.893,
3570,11/25/2021 03.00.26 PM,,1247.00
3571,11/25/2021 03.06.42 PM,,1248.00
3572,11/25/2021 03.12.57 PM,,1249.00
3573,11/25/2021 03.19.44 PM,,1250.00
3574,11/25/2021 03.27.14 PM,,1251.00
3575,11/25/2021 03.36.26 PM,,1252.00
3576,11/25/2021 03.45.53 PM,,1253.00
3577,11/25/2021 03.56.22 PM,,1254.00
3578,11/25/2021 04.00.00 PM,0.784,
3579,11/25/2021 04.06.36 PM,,1255.00
3580,11/25/2021 04.18.13 PM,,1256.00
3581,11/25/2021 04.28.45 PM,,1257.00
3582,11/25/2021 04.38.24 PM,,1258.00
3583,11/25/2021 04.45.35 PM,,1259.00
3584,11/25/2021 04.52.22 PM,,1260.00
3585,11/25/2021 04.58.58 PM,,1261.00
3586,11/25/2021 05.00.00 PM,0.893,
3587,11/25/2021 05.04.20 PM,,1262.00
3588,11/25/2021 05.09.59 PM,,1263.00
3589,11/25/2021 05.15.58 PM,,1264.00
3590,11/25/2021 05.25.18 PM,,1265.00
3591,11/25/2021 05.40.25 PM,,1266.00
3592,11/25/2021 06.00.00 PM,0.784,
3593,11/25/2021 06.00.09 PM,,1267.00
3594,11/25/2021 06.24.36 PM,,1268.00
3595,11/25/2021 06.51.17 PM,,1269.00
3596,11/25/2021 07.00.00 PM,0.563,
3597,11/25/2021 07.19.18 PM,,1270.00
3598,11/25/2021 07.41.58 PM,,1271.00
3599,11/25/2021 08.00.00 PM,0.563,
3600,11/25/2021 08.02.20 PM,,1272.00
3601,11/25/2021 08.10.04 PM,,1273.00
3602,11/25/2021 08.16.07 PM,,1274.00
3603,11/25/2021 08.22.34 PM,,1275.00
3604,11/25/2021 08.31.21 PM,,1276.00
3605,11/25/2021 08.42.21 PM,,1277.00
3606,11/25/2021 08.54.40 PM,,1278.00
3607,11/25/2021 09.00.00 PM,0.563,
3608,11/25/2021 09.04.51 PM,,1279.00
3609,11/25/2021 09.14.34 PM,,1280.00
3610,11/25/2021 09.22.46 PM,,1281.00
3611,11/25/2021 09.28.30 PM,,1282.00
3612,11/25/2021 09.32.21 PM,,1283.00
3613,11/25/2021 09.35.45 PM,,1284.00
3614,11/25/2021 09.38.24 PM,,1285.00
3615,11/25/2021 09.41.37 PM,,1286.00
3616,11/25/2021 09.45.57 PM,,1287.00
3617,11/25/2021 09.51.38 PM,,1288.00
3618,11/25/2021 09.58.08 PM,,1289.00
3619,11/25/2021 10.00.00 PM,0.674,
3620,11/25/2021 10.03.53 PM,,1290.00
3621,11/25/2021 10.09.26 PM,,1291.00
3622,11/25/2021 10.14.40 PM,,1292.00
3623,11/25/2021 10.19.49 PM,,1293.00
3624,11/25/2021 10.24.23 PM,,1294.00
3625,11/25/2021 10.28.43 PM,,1295.00
3626,11/25/2021 10.33.27 PM,,1296.00
3627,11/25/2021 10.37.51 PM,,1297.00
3628,11/25/2021 10.43.03 PM,,1298.00
3629,11/25/2021 10.47.50 PM,,1299.00
3630,11/25/2021 10.52.35 PM,,1300.00
3631,11/25/2021 10.56.53 PM,,1301.00
3632,11/25/2021 11.00.00 PM,0.674,
3633,11/25/2021 11.00.56 PM,,1302.00
3634,11/25/2021 11.04.13 PM,,1303.00
3635,11/25/2021 11.07.47 PM,,1304.00
3636,11/25/2021 11.11.39 PM,,1305.00
3637,11/25/2021 11.15.01 PM,,1306.00
3638,11/25/2021 11.18.37 PM,,1307.00
3639,11/25/2021 11.23.03 PM,,1308.00
3640,11/25/2021 11.28.18 PM,,1309.00
3641,11/25/2021 11.33.39 PM,,1310.00
3642,11/25/2021 11.38.25 PM,,1311.00
3643,11/25/2021 11.42.53 PM,,1312.00
3644,11/25/2021 11.47.07 PM,,1313.00
3645,11/25/2021 11.50.35 PM,,1314.00
3646,11/25/2021 11.53.43 PM,,1315.00
3647,11/25/2021 11.56.44 PM,,1316.00
3648,11/25/2021 11.59.30 PM,,1317.00
3649,11/26/2021 12.00.00 AM,1.112,
3650,11/26/2021 12.02.20 AM,,1318.00
3651,11/26/2021 12.05.08 AM,,1319.00
3652,11/26/2021 12.07.50 AM,,1320.00
3653,11/26/2021 12.11.01 AM,,1321.00
3654,11/26/2021 12.15.07 AM,,1322.00
3655,11/26/2021 12.19.10 AM,,1323.00
3656,11/26/2021 12.22.50 AM,,1324.00
3657,11/26/2021 12.25.48 AM,,1325.00
3658,11/26/2021 12.28.13 AM,,1326.00
3659,11/26/2021 12.30.14 AM,,1327.00
3660,11/26/2021 12.32.26 AM,,1328.00
3661,11/26/2021 12.34.56 AM,,1329.00
3662,11/26/2021 12.38.04 AM,,1330.00
3663,11/26/2021 12.41.05 AM,,1331.00
3664,11/26/2021 12.44.03 AM,,1332.00
3665,11/26/2021 12.46.45 AM,,1333.00
3666,11/26/2021 12.49.30 AM,,1334.00
3667,11/26/2021 12.52.04 AM,,1335.00
3668,11/26/2021 12.54.23 AM,,1336.00
3669,11/26/2021 12.56.28 AM,,1337.00
3670,11/26/2021 12.58.38 AM,,1338.00
3671,11/26/2021 01.00.00 AM,1.112,
3672,11/26/2021 01.01.03 AM,,1339.00
3673,11/26/2021 01.02.59 AM,,1340.00
3674,11/26/2021 01.05.11 AM,,1341.00
3675,11/26/2021 01.07.16 AM,,1342.00
3676,11/26/2021 01.09.33 AM,,1343.00
3677,11/26/2021 01.12.18 AM,,1344.00
3678,11/26/2021 01.14.40 AM,,1345.00
3679,11/26/2021 01.16.35 AM,,1346.00
3680,11/26/2021 01.18.30 AM,,1347.00
3681,11/26/2021 01.20.21 AM,,1348.00
3682,11/26/2021 01.22.08 AM,,1349.00
3683,11/26/2021 01.23.57 AM,,1350.00
3684,11/26/2021 01.25.41 AM,,1351.00
3685,11/26/2021 01.26.55 AM,,1352.00
3686,11/26/2021 01.28.33 AM,,1353.00
3687,11/26/2021 01.30.02 AM,,1354.00
3688,11/26/2021 01.31.36 AM,,1355.00
3689,11/26/2021 01.32.56 AM,,1356.00
3690,11/26/2021 01.35.05 AM,,1357.00
3691,11/26/2021 01.36.37 AM,,1358.00
3692,11/26/2021 01.37.12 AM,,1359.00
3693,11/26/2021 01.38.03 AM,,1360.00
3694,11/26/2021 01.38.55 AM,,1361.00
3695,11/26/2021 01.40.04 AM,,1362.00
3696,11/26/2021 01.41.26 AM,,1363.00
3697,11/26/2021 01.43.11 AM,,1364.00
3698,11/26/2021 01.44.40 AM,,1365.00
3699,11/26/2021 01.46.12 AM,,1366.00
3700,11/26/2021 01.48.00 AM,,1367.00
3701,11/26/2021 01.50.10 AM,,1368.00
3702,11/26/2021 01.52.36 AM,,1369.00
3703,11/26/2021 01.55.08 AM,,1370.00
3704,11/26/2021 01.57.30 AM,,1371.00
3705,11/26/2021 02.00.00 AM,0.674,
3706,11/26/2021 02.00.11 AM,,1372.00
3707,11/26/2021 02.02.41 AM,,1373.00
3708,11/26/2021 02.05.31 AM,,1374.00
3709,11/26/2021 02.09.21 AM,,1375.00
3710,11/26/2021 02.13.42 AM,,1376.00
3711,11/26/2021 02.17.42 AM,,1377.00
3712,11/26/2021 02.21.29 AM,,1378.00
3713,11/26/2021 02.24.46 AM,,1379.00
3714,11/26/2021 02.27.40 AM,,1380.00
3715,11/26/2021 02.30.24 AM,,1381.00
3716,11/26/2021 02.33.13 AM,,1382.00
3717,11/26/2021 02.36.27 AM,,1383.00
3718,11/26/2021 02.40.46 AM,,1384.00
3719,11/26/2021 02.44.34 AM,,1385.00
3720,11/26/2021 02.47.32 AM,,1386.00
3721,11/26/2021 02.50.32 AM,,1387.00
3722,11/26/2021 02.53.25 AM,,1388.00
3723,11/26/2021 02.56.44 AM,,1389.00
3724,11/26/2021 03.00.00 AM,1.112,
3725,11/26/2021 03.00.21 AM,,1390.00
3726,11/26/2021 03.03.40 AM,,1391.00
3727,11/26/2021 03.07.24 AM,,1392.00
3728,11/26/2021 03.11.09 AM,,1393.00
3729,11/26/2021 03.14.19 AM,,1394.00
3730,11/26/2021 03.16.34 AM,,1395.00
3731,11/26/2021 03.18.55 AM,,1396.00
3732,11/26/2021 03.20.55 AM,,1397.00
3733,11/26/2021 03.22.51 AM,,1398.00
3734,11/26/2021 03.24.30 AM,,1399.00
3735,11/26/2021 03.26.17 AM,,1400.00
3736,11/26/2021 03.28.03 AM,,1401.00
3737,11/26/2021 03.30.12 AM,,1402.00
3738,11/26/2021 03.32.15 AM,,1403.00
3739,11/26/2021 03.34.56 AM,,1404.00
3740,11/26/2021 03.37.46 AM,,1405.00
3741,11/26/2021 03.40.19 AM,,1406.00
3742,11/26/2021 03.42.34 AM,,1407.00
3743,11/26/2021 03.45.41 AM,,1408.00
3744,11/26/2021 03.49.51 AM,,1409.00
3745,11/26/2021 03.55.24 AM,,1410.00
3746,11/26/2021 04.00.00 AM,1.221,
3747,11/26/2021 04.01.39 AM,,1411.00
3748,11/26/2021 04.06.58 AM,,1412.00
3749,11/26/2021 04.11.33 AM,,1413.00
3750,11/26/2021 04.15.53 AM,,1414.00
3751,11/26/2021 04.19.29 AM,,1415.00
3752,11/26/2021 04.24.09 AM,,1416.00
3753,11/26/2021 04.27.25 AM,,1417.00
3754,11/26/2021 04.29.41 AM,,1418.00
3755,11/26/2021 04.31.39 AM,,1419.00
3756,11/26/2021 04.33.22 AM,,1420.00
3757,11/26/2021 04.35.15 AM,,1421.00
3758,11/26/2021 04.37.02 AM,,1422.00
3759,11/26/2021 04.38.47 AM,,1423.00
3760,11/26/2021 04.40.40 AM,,1424.00
3761,11/26/2021 04.42.47 AM,,1425.00
3762,11/26/2021 04.45.04 AM,,1426.00
3763,11/26/2021 04.47.26 AM,,1427.00
3764,11/26/2021 04.49.46 AM,,1428.00
3765,11/26/2021 04.51.59 AM,,1429.00
3766,11/26/2021 04.54.13 AM,,1430.00
3767,11/26/2021 04.56.34 AM,,1431.00
3768,11/26/2021 04.59.02 AM,,1432.00
3769,11/26/2021 05.00.00 AM,1.330,
3770,11/26/2021 05.01.44 AM,,1433.00
3771,11/26/2021 05.04.36 AM,,1434.00
3772,11/26/2021 05.07.58 AM,,1435.00
3773,11/26/2021 05.11.33 AM,,1436.00
3774,11/26/2021 05.14.03 AM,,1437.00
3775,11/26/2021 05.16.05 AM,,1438.00
3776,11/26/2021 05.18.40 AM,,1439.00
3777,11/26/2021 05.22.03 AM,,1440.00
3778,11/26/2021 05.26.52 AM,,1441.00
3779,11/26/2021 05.32.20 AM,,1442.00
3780,11/26/2021 05.36.29 AM,,1443.00
3781,11/26/2021 05.40.51 AM,,1444.00
3782,11/26/2021 05.46.14 AM,,1445.00
3783,11/26/2021 05.53.49 AM,,1446.00
3784,11/26/2021 06.00.00 AM,1.439,
3785,11/26/2021 06.02.52 AM,,1447.00
3786,11/26/2021 06.11.50 AM,,1448.00
3787,11/26/2021 06.20.27 AM,,1449.00
3788,11/26/2021 06.29.05 AM,,1450.00
3789,11/26/2021 06.34.41 AM,,1451.00
3790,11/26/2021 06.39.46 AM,,1452.00
3791,11/26/2021 06.45.10 AM,,1453.00
3792,11/26/2021 06.48.38 AM,,1454.00
3793,11/26/2021 06.50.16 AM,,1455.00
3794,11/26/2021 06.52.23 AM,,1456.00
3795,11/26/2021 06.54.14 AM,,1457.00
3796,11/26/2021 06.56.07 AM,,1458.00
3797,11/26/2021 06.58.07 AM,,1459.00
3798,11/26/2021 07.00.00 AM,1.221,
3799,11/26/2021 07.00.18 AM,,1460.00
3800,11/26/2021 07.02.29 AM,,1461.00
3801,11/26/2021 07.04.59 AM,,1462.00
3802,11/26/2021 07.07.10 AM,,1463.00
3803,11/26/2021 07.09.29 AM,,1464.00
3804,11/26/2021 07.11.28 AM,,1465.00
3805,11/26/2021 07.13.31 AM,,1466.00
3806,11/26/2021 07.15.32 AM,,1467.00
3807,11/26/2021 07.17.46 AM,,1468.00
3808,11/26/2021 07.19.59 AM,,1469.00
3809,11/26/2021 07.22.11 AM,,1470.00
3810,11/26/2021 07.24.00 AM,,1471.00
3811,11/26/2021 07.26.03 AM,,1472.00
3812,11/26/2021 07.28.12 AM,,1473.00
3813,11/26/2021 07.30.39 AM,,1474.00
3814,11/26/2021 07.33.28 AM,,1475.00
3815,11/26/2021 07.36.22 AM,,1476.00
3816,11/26/2021 07.39.08 AM,,1477.00
3817,11/26/2021 07.42.09 AM,,1478.00
3818,11/26/2021 07.45.18 AM,,1479.00
3819,11/26/2021 07.48.34 AM,,1480.00
3820,11/26/2021 07.51.33 AM,,1481.00
3821,11/26/2021 07.54.23 AM,,1482.00
3822,11/26/2021 07.56.44 AM,,1483.00
3823,11/26/2021 07.58.57 AM,,1484.00
3824,11/26/2021 08.00.00 AM,1.330,
3825,11/26/2021 08.01.25 AM,,1485.00
3826,11/26/2021 08.04.06 AM,,1486.00
3827,11/26/2021 08.06.55 AM,,1487.00
3828,11/26/2021 08.10.30 AM,,1488.00
3829,11/26/2021 08.14.15 AM,,1489.00
3830,11/26/2021 08.17.58 AM,,1490.00
3831,11/26/2021 08.21.36 AM,,1491.00
3832,11/26/2021 08.24.42 AM,,1492.00
3833,11/26/2021 08.27.23 AM,,1493.00
3834,11/26/2021 08.30.03 AM,,1494.00
3835,11/26/2021 08.32.30 AM,,1495.00
3836,11/26/2021 08.34.30 AM,,1496.00
3837,11/26/2021 08.36.20 AM,,1497.00
3838,11/26/2021 08.38.17 AM,,1498.00
3839,11/26/2021 08.40.36 AM,,1499.00
3840,11/26/2021 08.43.23 AM,,1500.00
3841,11/26/2021 08.46.11 AM,,1501.00
3842,11/26/2021 08.49.10 AM,,1502.00
3843,11/26/2021 08.52.04 AM,,1503.00
3844,11/26/2021 08.54.43 AM,,1504.00
3845,11/26/2021 08.57.18 AM,,1505.00
3846,11/26/2021 08.59.58 AM,,1506.00
3847,11/26/2021 09.00.00 AM,1.112,
3848,11/26/2021 09.02.34 AM,,1507.00
3849,11/26/2021 09.05.31 AM,,1508.00
3850,11/26/2021 09.08.34 AM,,1509.00
3851,11/26/2021 09.12.15 AM,,1510.00
3852,11/26/2021 09.16.05 AM,,1511.00
3853,11/26/2021 09.19.15 AM,,1512.00
3854,11/26/2021 09.22.05 AM,,1513.00
3855,11/26/2021 09.25.17 AM,,1514.00
3856,11/26/2021 09.28.44 AM,,1515.00
3857,11/26/2021 09.32.22 AM,,1516.00
3858,11/26/2021 09.35.39 AM,,1517.00
3859,11/26/2021 09.39.00 AM,,1518.00
3860,11/26/2021 09.41.24 AM,,1519.00
3861,11/26/2021 09.44.13 AM,,1520.00
3862,11/26/2021 09.47.11 AM,,1521.00
3863,11/26/2021 09.50.40 AM,,1522.00
3864,11/26/2021 09.54.13 AM,,1523.00
3865,11/26/2021 09.57.41 AM,,1524.00
3866,11/26/2021 10.00.00 AM,1.548,
3867,11/26/2021 10.00.19 AM,,1525.00
3868,11/26/2021 10.03.10 AM,,1526.00
3869,11/26/2021 10.05.55 AM,,1527.00
3870,11/26/2021 10.08.53 AM,,1528.00
3871,11/26/2021 10.11.45 AM,,1529.00
3872,11/26/2021 10.15.37 AM,,1530.00
3873,11/26/2021 10.20.18 AM,,1531.00
3874,11/26/2021 10.26.50 AM,,1532.00
3875,11/26/2021 10.32.38 AM,,1533.00
3876,11/26/2021 10.38.51 AM,,1534.00
3877,11/26/2021 10.45.24 AM,,1535.00
3878,11/26/2021 10.52.43 AM,,1536.00
3879,11/26/2021 10.57.30 AM,,1537.00
3880,11/26/2021 11.00.00 AM,1.656,
3881,11/26/2021 11.00.51 AM,,1538.00
3882,11/26/2021 11.03.31 AM,,1539.00
3883,11/26/2021 11.05.57 AM,,1540.00
3884,11/26/2021 11.07.48 AM,,1541.00
3885,11/26/2021 11.09.37 AM,,1542.00
3886,11/26/2021 11.11.21 AM,,1543.00
3887,11/26/2021 11.13.23 AM,,1544.00
3888,11/26/2021 11.15.38 AM,,1545.00
3889,11/26/2021 11.18.14 AM,,1546.00
3890,11/26/2021 11.20.47 AM,,1547.00
3891,11/26/2021 11.23.43 AM,,1548.00
3892,11/26/2021 11.26.23 AM,,1549.00
3893,11/26/2021 11.29.12 AM,,1550.00
3894,11/26/2021 11.31.16 AM,,1551.00
3895,11/26/2021 11.33.07 AM,,1552.00
3896,11/26/2021 11.34.35 AM,,1553.00
3897,11/26/2021 11.36.01 AM,,1554.00
3898,11/26/2021 11.37.31 AM,,1555.00
3899,11/26/2021 11.39.04 AM,,1556.00
3900,11/26/2021 11.40.43 AM,,1557.00
3901,11/26/2021 11.42.33 AM,,1558.00
3902,11/26/2021 11.44.14 AM,,1559.00
3903,11/26/2021 11.46.30 AM,,1560.00
3904,11/26/2021 11.48.45 AM,,1561.00
3905,11/26/2021 11.51.25 AM,,1562.00
3906,11/26/2021 11.54.04 AM,,1563.00
3907,11/26/2021 11.57.11 AM,,1564.00
3908,11/26/2021 11.59.59 AM,,1565.00
3909,11/26/2021 12.00.00 PM,2.195,
3910,11/26/2021 12.03.38 PM,,1566.00
3911,11/26/2021 12.07.37 PM,,1567.00
3912,11/26/2021 12.13.10 PM,,1568.00
3913,11/26/2021 12.18.48 PM,,1569.00
3914,11/26/2021 12.24.04 PM,,1570.00
3915,11/26/2021 12.27.37 PM,,1571.00
3916,11/26/2021 12.31.12 PM,,1572.00
3917,11/26/2021 12.34.45 PM,,1573.00
3918,11/26/2021 12.37.34 PM,,1574.00
3919,11/26/2021 12.39.40 PM,,1575.00
3920,11/26/2021 12.42.03 PM,,1576.00
3921,11/26/2021 12.43.49 PM,,1577.00
3922,11/26/2021 12.45.49 PM,,1578.00
3923,11/26/2021 12.47.31 PM,,1579.00
3924,11/26/2021 12.49.02 PM,,1580.00
3925,11/26/2021 12.50.26 PM,,1581.00
3926,11/26/2021 12.52.06 PM,,1582.00
3927,11/26/2021 12.53.50 PM,,1583.00
3928,11/26/2021 12.56.46 PM,,1584.00
3929,11/26/2021 12.59.57 PM,,1585.00
3930,11/26/2021 01.00.00 PM,1.764,
3931,11/26/2021 01.03.19 PM,,1586.00
3932,11/26/2021 01.06.39 PM,,1587.00
3933,11/26/2021 01.09.26 PM,,1588.00
3934,11/26/2021 01.11.17 PM,,1589.00
3935,11/26/2021 01.13.07 PM,,1590.00
3936,11/26/2021 01.14.56 PM,,1591.00
3937,11/26/2021 01.16.30 PM,,1592.00
3938,11/26/2021 01.18.14 PM,,1593.00
3939,11/26/2021 01.20.56 PM,,1594.00
3940,11/26/2021 01.24.29 PM,,1595.00
3941,11/26/2021 01.28.22 PM,,1596.00
3942,11/26/2021 01.31.44 PM,,1597.00
3943,11/26/2021 01.35.52 PM,,1598.00
3944,11/26/2021 01.39.11 PM,,1599.00
3945,11/26/2021 01.42.13 PM,,1600.00
3946,11/26/2021 01.44.29 PM,,1601.00
3947,11/26/2021 01.46.59 PM,,1602.00
3948,11/26/2021 01.48.55 PM,,1603.00
3949,11/26/2021 01.50.54 PM,,1604.00
3950,11/26/2021 01.52.24 PM,,1605.00
3951,11/26/2021 01.53.43 PM,,1606.00
3952,11/26/2021 01.54.51 PM,,1607.00
3953,11/26/2021 01.56.16 PM,,1608.00
3954,11/26/2021 01.57.45 PM,,1609.00
3955,11/26/2021 01.59.57 PM,,1610.00
3956,11/26/2021 02.00.00 PM,1.656,
3957,11/26/2021 02.03.12 PM,,1611.00
3958,11/26/2021 02.08.52 PM,,1612.00
3959,11/26/2021 02.16.21 PM,,1613.00
3960,11/26/2021 02.25.32 PM,,1614.00
3961,11/26/2021 02.33.14 PM,,1615.00
3962,11/26/2021 02.40.16 PM,,1616.00
